表章項目 コード,表章項目 補助コード,表章項目,時間軸（月次） コード,時間軸（月次） 補助コード,year,都道府県 コード,都道府県 補助コード,prefecture,/国籍,total,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,ユーゴスラヴィア,アルメニア,アゼルバイジャン,アンドラ,ジョージア（グルジア）,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,赤道ギニア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
101,,人数【人】,2017000606,,2017年6月,10000,,群馬県,,"52,979","33,314",60,-,559,-,3,777,-,221,500,"7,273",527,-,-,494,"1,450",179,-,3,1,"2,247",327,***,-,12,3,156,185,-,-,"2,549",932,"7,296",-,1,5,16,994,191,"6,348",4,1,515,1,5,2,8,1,1,3,1,-,-,38,20,1,6,-,18,17,-,-,-,-,-,3,-,-,3,1,2,-,13,3,84,73,-,44,4,6,-,-,121,9,19,***,-,2,-,-,2,3,-,-,-,1,-,196,3,2,-,41,-,-,-,4,-,-,-,-,8,-,-,-,16,23,-,-,-,8,-,-,-,-,8,-,5,-,-,1,-,24,-,-,2,-,-,-,-,-,-,5,-,20,5,10,4,1,-,6,-,-,636,-,-,-,90,5,1,10,-,3,1,4,1,8,32,1,1,-,-,-,1,478,-,-,"18,159",172,526,"12,422",42,47,3,-,186,"4,747",-,7,7,141,90,-,-,-,-,41,1,1,-,-,7,-,-,1,18
101,,人数【人】,2017000606,,2017年6月,11000,,埼玉県,,"160,026","140,624",105,3,769,1,4,"1,661",1,266,"1,265","62,948","3,150",1,-,"1,318","2,082",469,6,17,12,"15,707","1,457",***,-,72,4,577,714,-,5,"4,553","2,299","19,169",-,83,29,111,"3,013","1,476","17,262",14,1,"2,805",1,20,17,12,11,2,13,13,4,29,335,227,12,40,1,39,132,17,11,-,1,7,14,-,-,12,2,40,11,84,24,112,403,-,123,67,20,-,1,630,84,177,***,5,5,-,2,13,17,4,-,1,10,-,"1,850",10,-,2,144,1,-,-,60,-,-,12,-,42,-,6,-,448,69,27,3,4,45,3,1,-,2,29,-,38,3,3,9,1,526,-,5,92,9,1,17,-,-,-,20,7,59,40,24,65,1,1,14,6,1,"2,617",1,1,-,384,5,11,35,-,8,5,-,8,22,122,3,5,-,1,-,3,"2,003",-,-,"11,598",181,159,"7,271",56,179,11,-,210,"3,514",-,6,11,483,299,18,1,1,4,146,-,-,2,2,5,-,-,5,49
101,,人数【人】,2017000606,,2017年6月,12000,,千葉県,,"139,823","124,900","1,005",-,887,-,30,858,-,262,"3,689","47,875","3,390",1,-,"1,594","2,047",420,11,24,26,"15,605",800,***,1,66,-,625,"1,155",-,3,"5,267","1,088","18,242",-,17,36,148,"5,543",85,"14,091",7,2,"2,953",7,30,29,14,14,3,15,19,5,32,306,166,11,36,3,40,102,9,20,1,2,7,19,-,-,6,-,30,10,72,33,99,539,1,90,58,38,-,3,811,100,153,***,-,1,-,1,4,5,-,-,-,9,-,"1,264",9,-,1,62,-,-,2,25,1,-,4,-,24,-,2,2,327,14,1,1,12,70,10,3,1,7,6,1,21,4,4,5,1,287,1,5,22,4,1,50,-,-,-,38,4,14,84,58,61,1,2,11,-,1,"3,112",-,-,1,465,12,13,20,2,10,9,2,17,51,259,4,1,-,-,-,2,"2,242",1,1,"6,951",103,180,"3,491",80,236,9,-,94,"2,738",-,4,16,615,390,29,-,-,-,172,-,2,4,1,8,-,-,9,28
101,,人数【人】,2017000606,,2017年6月,13000,,東京都,,"521,088","454,401",148,47,"9,369",2,15,"4,209",28,702,"2,912","197,510","18,472",15,5,"11,809","4,305","1,025",19,257,25,"92,156","5,625",***,16,216,43,"2,726","2,328",3,12,"25,147","1,192","31,940",10,305,80,"1,219","8,207",782,"31,502",10,8,"29,206",22,237,355,155,111,47,133,230,48,251,"6,573","2,843",100,188,33,403,"1,872",68,109,6,19,31,91,1,10,38,16,500,156,468,211,529,"2,603",-,"1,112",930,439,14,32,"6,370",454,"1,174",***,17,29,1,17,21,52,12,1,3,67,4,"3,371",52,3,10,99,6,-,3,69,1,-,22,7,173,-,9,4,552,164,11,2,37,134,7,21,3,15,43,5,170,21,17,18,2,543,8,13,144,20,5,31,1,-,1,73,7,164,105,191,301,17,17,33,10,7,"22,749",4,2,4,"3,259",32,76,44,6,22,32,9,28,96,567,10,19,2,-,5,16,"18,516",-,-,"6,710",317,117,"3,398",146,538,41,-,69,"1,970",3,25,86,"4,556","3,518",45,2,2,9,918,-,11,8,8,28,-,-,7,95
101,,人数【人】,2017000606,,2017年6月,14000,,神奈川県,,"198,557","164,434",49,22,699,3,8,997,2,"1,905","2,394","64,830","5,082",3,9,"4,710","2,761",539,4,29,12,"28,077","1,759",***,1,"1,239",16,"1,032",733,3,2,"5,139","1,149","21,101",13,165,27,278,"4,341",215,"15,082",2,2,"7,168",3,74,77,37,27,19,49,36,17,48,"1,010","1,075",34,69,-,77,354,47,27,-,5,9,24,-,1,24,1,129,39,136,55,234,847,1,270,155,125,18,12,"1,632",188,136,***,2,13,-,-,6,9,5,1,1,10,-,"1,766",28,-,-,38,6,-,1,39,1,-,8,2,13,-,2,1,338,25,5,1,38,69,1,2,3,8,37,1,62,6,11,13,-,464,2,11,121,1,1,6,2,-,-,118,5,46,30,61,92,10,10,21,6,-,"7,000",-,2,1,911,31,20,185,2,18,14,5,9,85,248,18,4,-,1,-,9,"5,436",1,-,"17,100",660,747,"8,549",42,293,44,2,247,"6,468",-,6,42,999,759,18,-,-,8,199,-,1,3,1,6,1,-,3,90
101,,人数【人】,2017000606,,2017年6月,15000,,新潟県,,"14,892","13,207",27,-,121,-,-,78,-,37,199,"4,921",203,-,1,60,360,13,-,2,2,"1,789",130,***,-,18,-,83,207,-,-,298,274,"2,316",1,1,1,23,424,5,"1,612",-,1,572,4,3,3,1,-,1,1,1,-,-,38,26,1,3,-,4,22,14,3,-,-,1,1,-,-,-,-,23,1,8,1,20,199,-,21,5,6,-,9,111,10,20,***,1,3,-,1,1,3,-,-,1,1,-,132,-,-,-,7,-,-,-,1,-,-,1,-,5,1,1,-,15,-,3,-,3,15,-,-,-,3,5,-,9,-,1,5,1,12,-,-,8,-,-,3,-,-,-,4,1,3,1,15,7,1,-,-,-,1,461,-,-,-,59,5,-,1,-,1,3,-,1,4,42,-,1,-,-,-,2,342,-,-,392,6,2,304,1,5,-,-,1,70,-,-,3,127,86,3,-,-,2,35,-,-,-,1,-,-,-,-,1
101,,人数【人】,2017000606,,2017年6月,16000,,富山県,,"15,798","12,354",1,-,57,-,-,108,-,71,54,"5,046",172,-,1,147,382,3,-,6,1,918,110,***,-,4,-,100,26,-,-,66,505,"2,084",-,-,5,5,194,1,"2,287",-,-,656,4,1,2,3,3,-,5,1,1,4,17,8,-,4,-,4,8,-,2,-,-,1,-,-,-,6,-,2,1,1,2,32,467,-,5,-,3,-,1,43,17,3,***,-,-,-,-,-,2,-,-,-,3,-,56,1,-,-,2,-,-,-,11,-,-,2,-,-,-,-,-,3,-,-,-,-,2,-,-,-,-,-,-,4,-,-,1,-,2,-,-,3,-,-,-,-,-,-,-,-,-,-,5,19,1,-,-,-,-,243,1,-,-,28,-,-,2,-,1,-,-,-,10,7,2,-,-,-,-,3,189,-,-,"2,452",3,26,"2,231",3,2,-,-,135,49,-,-,3,37,29,-,-,-,-,6,-,1,-,-,-,-,-,1,-
101,,人数【人】,2017000606,,2017年6月,17000,,石川県,,"13,247","11,097",1,-,207,-,-,83,-,36,14,"4,452",180,-,-,103,637,6,3,-,1,"1,410",195,***,-,3,-,49,97,-,1,187,38,942,-,-,8,7,274,8,"2,154",-,1,345,-,3,7,1,4,-,3,1,-,6,35,26,1,4,-,13,17,-,-,-,-,-,2,-,-,-,-,3,3,5,-,18,73,-,12,4,6,-,2,71,9,1,***,-,1,-,2,-,6,-,-,-,6,-,101,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,5,-,-,-,-,1,-,1,-,-,5,-,12,1,-,1,-,-,-,1,-,-,1,-,4,-,6,58,-,1,1,-,-,333,-,-,-,45,-,2,3,-,1,1,-,1,6,11,3,-,-,-,-,2,258,-,-,"1,310",14,12,"1,156",2,7,-,-,8,109,-,1,1,61,41,2,-,-,-,14,-,-,-,-,4,-,-,-,-
101,,人数【人】,2017000606,,2017年6月,18000,,福井県,,"13,203","9,406",8,-,130,-,2,16,-,142,7,"3,114",117,-,-,11,235,5,1,1,-,"2,210",281,***,-,2,-,75,13,-,1,74,21,"1,389",-,-,-,3,227,1,"1,320",-,-,171,-,-,-,-,1,-,2,-,-,2,14,9,-,3,-,5,9,-,1,-,-,-,-,-,-,1,-,3,-,2,5,3,71,-,2,1,1,-,-,24,8,2,***,-,-,-,1,-,1,-,-,-,-,-,18,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,7,4,-,-,-,-,-,234,-,-,-,25,-,1,-,-,-,-,-,-,4,1,1,1,-,-,-,1,200,-,-,"3,344",1,-,"3,251",2,3,-,-,5,82,-,-,-,25,18,-,1,-,-,6,-,-,-,-,-,-,-,-,5
101,,人数【人】,2017000606,,2017年6月,19000,,山梨県,,"15,079","10,995",1,-,13,-,-,27,1,8,75,"3,468",532,1,-,293,240,53,-,3,-,"1,924",45,***,-,14,-,80,38,-,-,219,33,"2,007",-,-,-,9,688,6,"1,217",-,-,250,-,2,4,-,-,2,3,3,-,3,36,20,-,2,-,8,8,-,3,-,-,-,1,-,-,-,-,7,5,4,5,5,26,-,3,3,7,-,-,80,3,2,***,-,-,-,-,-,1,-,-,-,4,-,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,2,-,-,-,-,-,-,3,-,-,-,-,3,-,-,7,-,-,4,-,-,-,-,-,3,1,5,6,1,1,1,-,-,372,1,1,-,62,1,1,1,-,1,1,-,-,3,3,-,-,-,-,-,5,292,-,-,"3,356",9,37,"2,563",1,21,-,-,22,694,1,-,8,62,43,1,-,-,1,14,-,-,-,-,2,-,-,1,4
101,,人数【人】,2017000606,,2017年6月,20000,,長野県,,"33,518","25,837",5,-,167,-,3,66,-,87,247,"9,523",712,-,-,71,929,48,2,4,1,"3,442",327,***,-,8,-,106,75,1,-,353,206,"4,640",1,5,-,29,"2,297",9,"2,472",-,1,592,-,11,10,2,1,-,8,4,1,5,86,61,-,7,-,3,25,6,-,-,-,1,1,-,1,-,1,20,1,11,3,9,44,-,14,14,9,-,2,205,4,14,***,-,-,-,-,1,4,3,-,-,-,-,74,1,-,4,-,-,-,1,2,-,-,2,-,3,-,-,-,3,-,1,-,-,3,-,-,-,2,-,-,5,-,-,-,-,9,-,-,5,1,2,-,-,-,-,2,-,3,3,8,11,-,-,3,-,-,778,-,-,-,144,1,1,8,-,2,-,1,1,9,26,4,-,-,-,-,1,580,-,-,"5,874",29,152,"5,088",9,17,5,-,122,443,-,1,8,360,310,1,-,-,-,49,-,-,-,-,-,-,-,-,3
101,,人数【人】,2017000606,,2017年6月,21000,,岐阜県,,"49,649","36,903",29,-,412,-,-,133,-,562,328,"11,740",196,-,7,107,675,21,-,6,1,"3,845",561,***,-,8,1,79,35,-,1,670,316,"11,659",-,-,5,11,535,72,"4,888",-,-,460,-,3,3,1,1,-,2,1,-,3,37,31,-,1,-,6,20,5,-,-,-,-,2,-,-,5,-,5,-,3,2,85,67,-,22,9,4,-,-,100,28,7,***,-,-,-,2,2,-,-,-,-,3,-,121,-,-,-,3,-,-,-,6,-,-,-,-,-,-,-,-,11,6,-,-,3,7,-,-,-,-,2,-,2,-,-,-,-,14,-,-,11,1,-,-,-,-,-,2,-,-,3,3,46,-,1,-,-,-,505,-,-,-,88,-,4,10,-,-,5,-,2,4,35,-,-,-,-,-,1,356,-,-,"11,549",33,67,"10,564",4,11,3,-,18,844,-,2,3,109,74,-,-,-,-,30,-,-,-,-,2,-,-,3,2
101,,人数【人】,2017000606,,2017年6月,22000,,静岡県,,"83,093","47,513",6,-,718,-,2,211,1,82,806,"11,527",762,-,1,516,"2,608",74,-,9,2,"4,882",421,***,-,189,-,186,81,-,3,"1,229",402,"15,313",-,-,5,39,"1,447",42,"5,948",-,1,862,-,4,6,6,6,2,6,6,1,8,103,57,5,6,-,12,37,2,2,1,-,1,3,-,-,-,1,14,2,18,10,91,129,-,26,14,13,1,-,209,35,12,***,-,1,-,-,-,8,-,-,-,4,-,142,1,-,-,15,-,1,-,2,-,-,1,-,-,-,2,-,5,1,-,-,-,9,-,-,-,-,2,-,5,-,1,-,1,43,-,-,7,-,-,3,-,-,-,3,-,4,3,16,11,-,1,1,1,3,"1,131",1,-,-,171,3,6,13,-,8,4,-,4,26,57,9,3,-,-,-,9,817,-,-,"33,219",244,289,"27,473",18,219,9,1,225,"4,703",-,23,15,217,130,1,-,-,-,80,-,1,1,-,1,-,-,3,9
